type_propusk,method_zapolnenia,name_dataset,RMSE,MAE,R2,KL_divergence_median,KL_divergence_max,KS_statistic_median,KS_statistic_max,Wasserstein_2_median,Wasserstein_2_max,kl_w_vs_w_hat,ks_w_vs_w_hat,wasserstein_2_w_vs_w_hat,mean_ratio,model_R2,model_F1
MAR_15,MEDIAN_MODE,puma8NH_binclass_binaryClass.csv,0.3468755595495836,0.1028961649169921,0.8611755171271879,0.078886296972053,0.083509053043495,0.0770263671875,0.07958984375,0.1612817024657198,0.1637501087732739,14.761104933706433,0.926,0.0482495871041196,2.539811159542236,,0.7859706889388789
MAR_15,MICE,puma8NH_binclass_binaryClass.csv,0.3839328313622535,0.1090296776529948,0.8299294306426042,0.0806429978714281,0.1006125494841435,0.028076171875,0.031005859375,0.0512674306106943,0.0755038205259582,4.227849094784504,0.672,0.0216302725276237,1.6972863907037137,,0.8405555475373964
MAR_15,NUL_MODE,puma8NH_binclass_binaryClass.csv,0.3468794352595571,0.1029002680528428,0.8611724148824557,0.0807405030083065,0.0831218104832599,0.0771484375,0.07958984375,0.1613939885785521,0.1638237456753658,14.955957936570304,0.926,0.0482581397856102,2.5399752638429898,,0.7865646035586547
MAR_15,missForest,puma8NH_binclass_binaryClass.csv,0.3468725722235003,0.1028970011458862,0.8611779082568105,0.079543326289086,0.0828770834793251,0.0771484375,0.0794677734375,0.1613573220223728,0.1637686465079282,14.382488723432898,0.926,0.0482590791438188,2.540069700483735,,0.7862132109583355
MAR_30,MEAN_MODE,puma8NH_binclass_binaryClass.csv,0.4932810416243892,0.2071301019952315,0.7192579213136072,0.1541039997647661,0.1604306317021846,0.1517333984375,0.1541748046875,0.3212755484603996,0.3309449970668559,19.710631668557795,0.996,0.1275849000223103,4.992591929339456,,0.7383519117910466
MAR_30,MEDIAN_MODE,puma8NH_binclass_binaryClass.csv,0.4933421451984066,0.2071459016520182,0.7191883649941612,0.1521649884072149,0.161370081975771,0.15185546875,0.1556396484375,0.3212818228605983,0.3309251354886904,19.709245376258306,0.996,0.1276430523319377,4.994432639205994,,0.7387818376342442
MAR_30,MICE,puma8NH_binclass_binaryClass.csv,0.5489916205609726,0.2205858467068142,0.6522636479967991,0.1656195603953596,0.20677234109449,0.05712890625,0.0596923828125,0.1105705284269943,0.1503403049057408,18.414354427281715,0.97,0.0664165968956376,3.096773533186425,,0.840421789211096
MAR_30,NUL_MODE,puma8NH_binclass_binaryClass.csv,0.4932480621488396,0.2071261306559244,0.719295459415547,0.1565818183255706,0.1596646874880784,0.152099609375,0.1541748046875,0.321323894500701,0.3309898157803856,19.7106316665037,0.996,0.1275478690141721,4.99136952851478,,0.7387426508349823
MAR_30,missForest,puma8NH_binclass_binaryClass.csv,0.4932810416193564,0.2071301019942301,0.7192579213193357,0.1541039997554877,0.1604306316725824,0.1517333984375,0.1541748046875,0.3212755484603355,0.3309449970678617,19.710631668557795,0.996,0.1275849000194842,4.992591929277246,,0.7383519117910466
MAR_50,MEAN_MODE,puma8NH_binclass_binaryClass.csv,0.6372691726890563,0.3457494241740637,0.5314407853543335,0.2507063874909968,0.2550416304943517,0.252685546875,0.2569580078125,0.5389360835790866,0.5473288895356448,0.6392719324421308,1.0,0.2546374135895894,8.89982114570977,,0.6705215679148736
MAR_50,MEDIAN_MODE,puma8NH_binclass_binaryClass.csv,0.6373432194654369,0.3457671609971788,0.531331891604045,0.2488141193865369,0.2565536700893792,0.2542724609375,0.2572021484375,0.5389497038930375,0.547205590024874,0.6392719324421308,1.0,0.2547099437046759,8.901971974470344,,0.6715003351824236
MAR_50,MICE,puma8NH_binclass_binaryClass.csv,0.7113691113843211,0.3707776449110243,0.4161400718211883,0.2791288432525979,0.3258500388688403,0.0947265625,0.10400390625,0.1913553994499193,0.2495081807057934,19.75309985965185,0.998,0.1376226580894673,5.270747948158103,,0.8392132057736456
MAR_50,NUL_MODE,puma8NH_binclass_binaryClass.csv,0.6371631293376705,0.3457110184868707,0.5315967114762827,0.2517513858519342,0.2553741983060733,0.25244140625,0.2568359375,0.5387974788392749,0.54705224781446,0.6392719324421308,1.0,0.2545023357658814,8.895268220737307,,0.6673425690055231
MAR_50,missForest,puma8NH_binclass_binaryClass.csv,0.6372691726891582,0.3457494241750884,0.5314407853541836,0.2507063874411952,0.2550416302282896,0.252685546875,0.2569580078125,0.5389360835656865,0.5473288895450892,0.6392719324421308,1.0,0.254637413590714,8.899821145776722,,0.6705215679148736
MCAR_5,KNN15,puma8NH_binclass_binaryClass.csv,0.2112632310784122,0.0360717401909135,0.948504829835383,0.029684518806064,0.0325059354236752,0.017578125,0.0203857421875,0.0410996997964462,0.0430418128273475,0.3965430522571978,0.28,0.0068809412210937,1.2351258433228662,,0.8090618856563341
MCAR_5,MEAN_MODE,puma8NH_binclass_binaryClass.csv,0.2048098297287873,0.0352975137069285,0.9516027978935772,0.0281258172513101,0.0318413523687537,0.025634765625,0.0289306640625,0.0542236883377092,0.056685148109272,0.6664534186075061,0.326,0.0080228771151267,1.2733586590367432,,0.8085664935574897
MCAR_5,MEDIAN_MODE,puma8NH_binclass_binaryClass.csv,0.2047779911224907,0.0352963239067925,0.9516178438481184,0.027928894269181,0.0315622516844891,0.0255126953125,0.02880859375,0.0542544050089202,0.0566833490744323,0.5808769817195815,0.328,0.0080203058923814,1.2733178905642608,,0.8086889263139856
MCAR_5,MICE,puma8NH_binclass_binaryClass.csv,0.2226886086684911,0.0361929271375868,0.9427843724071064,0.0256856432460181,0.0374832340541606,0.01025390625,0.0118408203125,0.0194189451516328,0.0271884597793074,0.4179962455496275,0.15,0.0032469087194541,1.1151275147822135,,0.827499336235919
MCAR_5,NUL_MODE,puma8NH_binclass_binaryClass.csv,0.2048503487307415,0.0353005638156467,0.9515836464660375,0.0282685340195985,0.0320581084720951,0.025634765625,0.0289306640625,0.0542259327803861,0.0566891417311645,0.676760825707587,0.326,0.0080273680305865,1.273467232078168,,0.8090542836664675
MCAR_5,missForest,puma8NH_binclass_binaryClass.csv,0.2048098297323838,0.035297513707635,0.9516027978918774,0.0281258172734949,0.0318413523784177,0.025634765625,0.0289306640625,0.0542236883377164,0.056685148108933,0.6664534186075061,0.326,0.008022877115743,1.2733586590309098,,0.8085664935574897
MCAR_15,KNN15,puma8NH_binclass_binaryClass.csv,0.3586711525901027,0.1056117403612721,0.8515734615523769,0.0793177548157723,0.0932787345441479,0.052001953125,0.0548095703125,0.1181548979782846,0.126220933294497,12.172195570091503,0.898,0.043769564696586,2.430581248070536,,0.7845313366362989
MCAR_15,MEAN_MODE,puma8NH_binclass_binaryClass.csv,0.3475373572064554,0.1033685094053591,0.860645290323606,0.0757893032010674,0.0865958919584348,0.0762939453125,0.08154296875,0.1596535606035266,0.165698431238044,14.86208955149825,0.922,0.04893552953006,2.5941904215207914,,0.7845327994754472
MCAR_15,MEDIAN_MODE,puma8NH_binclass_binaryClass.csv,0.347547247716692,0.1033654639756944,0.8606373584638147,0.0749488665888847,0.0870246480526856,0.076416015625,0.0814208984375,0.1597625296107479,0.1656754971884873,14.764830986342526,0.92,0.0489397120163821,2.5943551658957733,,0.7851475043844077
MCAR_15,MICE,puma8NH_binclass_binaryClass.csv,0.3856671360910647,0.1092267676188151,0.8283894718094774,0.0858158627188914,0.1114704469659129,0.0286865234375,0.0318603515625,0.0577704606186136,0.0758780442930917,2.952631668280308,0.686,0.0222294199938361,1.7325712840974568,,0.8380071982148187
MCAR_15,NUL_MODE,puma8NH_binclass_binaryClass.csv,0.3475480912301144,0.1033831009521484,0.8606366819836978,0.0762086439644919,0.0858686512531351,0.075927734375,0.081298828125,0.1596157877463797,0.1657892955782284,14.261201716339716,0.922,0.048937022120789,2.594197527820172,,0.7848890656538452
MCAR_15,missForest,puma8NH_binclass_binaryClass.csv,0.3475373572067691,0.1033685094052408,0.8606452903233545,0.0757893032163946,0.0865958918750863,0.0762939453125,0.08154296875,0.1596535606020396,0.1656984312460978,14.86208955149825,0.922,0.0489355295327424,2.594190421594498,,0.7845327994754472
MCAR_30,MEAN_MODE,puma8NH_binclass_binaryClass.csv,0.4931015057998318,0.2071689210380924,0.7194622433283735,0.1561819043767877,0.1609862056540326,0.154541015625,0.1578369140625,0.3243368727376624,0.3271840555551149,19.53609843032546,0.998,0.1284424740246567,5.10729375368403,,0.7361210873741552
MCAR_30,MEDIAN_MODE,puma8NH_binclass_binaryClass.csv,0.493224587151428,0.2072070584174262,0.7193221777427434,0.1574774919120169,0.1617221868558432,0.1536865234375,0.1585693359375,0.3243631501617825,0.3277859555942036,19.53609843032546,0.998,0.1285655116629968,5.111016419888896,,0.7368667928196044
MCAR_30,MICE,puma8NH_binclass_binaryClass.csv,0.5474458438683596,0.2197590774603949,0.6542191095590706,0.1651698426060343,0.2025177769259648,0.05517578125,0.0611572265625,0.1164113981503375,0.1462521044240822,18.24875323022192,0.962,0.0678214694719424,3.179774049710672,,0.8428877569016462
MCAR_30,NUL_MODE,puma8NH_binclass_binaryClass.csv,0.4929899044817006,0.2071322030843098,0.7195892145102627,0.155702630885245,0.1612852764685655,0.1541748046875,0.1572265625,0.3243945222546476,0.326851199013111,19.53609843032546,0.998,0.1282863109679223,5.102679281619486,,0.7364324186152104
MCAR_30,missForest,puma8NH_binclass_binaryClass.csv,0.4931015058048504,0.2071689210396131,0.7194622433226631,0.1561819044391741,0.1609862057377794,0.154541015625,0.1578369140625,0.3243368727392611,0.3271840555696655,19.53609843032546,0.998,0.1284424740295712,5.107293753812726,,0.7361210873741552
MCAR_50,MEAN_MODE,puma8NH_binclass_binaryClass.csv,0.6385101185301635,0.3464122064301636,0.5296141702753163,0.2507333667549625,0.2627318168659757,0.252685546875,0.2591552734375,0.5407979438397482,0.5463284098257621,0.4683222047455568,1.0,0.255024935199412,9.085328923444758,,0.665312375592982
MCAR_50,MEDIAN_MODE,puma8NH_binclass_binaryClass.csv,0.6386447710768266,0.3464690164794921,0.5294157542231638,0.2475621176565027,0.2629347539382207,0.25390625,0.261474609375,0.5411266146066164,0.546322657630718,0.4683222047455568,1.0,0.2551838795101559,9.0905398495501,,0.6658384393697073
MCAR_50,MICE,puma8NH_binclass_binaryClass.csv,0.7102824011923015,0.368975258585612,0.417922555467336,0.280484335743722,0.3362814888968651,0.0924072265625,0.0943603515625,0.19066417024529,0.2452543337700077,19.58215013195528,0.998,0.1369006313087962,5.345744388709088,,0.8406763025382908
MCAR_50,NUL_MODE,puma8NH_binclass_binaryClass.csv,0.6384261155940996,0.3463899453396267,0.5297379308560779,0.2523176932613032,0.2607625407553128,0.2523193359375,0.2574462890625,0.5407429684754367,0.5464427289798923,0.4683222047455568,1.0,0.2548730495630438,9.080209979042673,,0.6659248379138802
MCAR_50,missForest,puma8NH_binclass_binaryClass.csv,0.6385101185413316,0.3464122064384478,0.5296141702588614,0.2507333665179415,0.2627318166112343,0.252685546875,0.2591552734375,0.5407979438452618,0.5463284098334342,0.4683222047455568,1.0,0.2550249352076871,9.08532892370276,,0.665312375592982
MNAR_5,KNN15,puma8NH_binclass_binaryClass.csv,0.2540229341424064,0.0466316820156707,0.9255500314615038,0.0411186439513107,0.048351820619654,0.0224609375,0.024658203125,0.0566160963844523,0.0590780744169605,2.2504349761447133,0.534,0.0144768720351122,1.4890571167815552,,0.803208283093398
MNAR_5,MEAN_MODE,puma8NH_binclass_binaryClass.csv,0.247688680404697,0.0462517137286292,0.9292166714763008,0.0402033439076601,0.0472392778956551,0.0260009765625,0.027587890625,0.0683317884839814,0.0708175843100528,2.867470080154097,0.562,0.0157717284501101,1.5304633287339802,,0.8023438290931291
MNAR_5,MEDIAN_MODE,puma8NH_binclass_binaryClass.csv,0.2477557125940913,0.0462583513861762,0.9291783539923112,0.0397788232077272,0.0472662451503611,0.0260009765625,0.027587890625,0.0682935099389953,0.0708149632013539,2.879455377528278,0.566,0.0157945831258592,1.5311632706699203,,0.8022238882557822
MNAR_5,MICE,puma8NH_binclass_binaryClass.csv,0.2588819063434209,0.0441860543484158,0.9226746208283584,0.0352278507461985,0.0536666101214583,0.0172119140625,0.0185546875,0.0324566727686342,0.0443257579346708,1.043922238293584,0.368,0.0087395116961393,1.3008815272813266,,0.8253031404856603
